class_name,total,train,val,test
Tomato___Late_blight,1799,1259,270,270
Tomato___Target_Spot,1402,981,210,211
Tomato___Bacterial_spot,1322,925,198,199
Corn_(maize)___Common_rust_,1186,830,178,178
Grape___Black_rot,1179,825,177,177
Corn_(maize)___healthy,1162,813,174,175
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1076,753,161,162
Potato___Late_blight,1000,700,150,150
Corn_(maize)___Northern_Leaf_Blight,978,686,146,146
Potato___Early_blight,962,673,144,145
Apple___Black_rot,621,435,93,93
Apple___Apple_scab,618,433,93,92
Apple___healthy,600,420,90,90
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,513,359,79,75
Grape___healthy,423,296,63,64
Grape___Esca_(Black_Measles),399,279,60,60
Apple___Cedar_apple_rust,275,192,41,42
Tomato___Septoria_leaf_spot,200,140,30,30
Tomato___Tomato_mosaic_virus,200,140,30,30
