filepath,class_name,true_label,pred_label,pred_class,pred_confidence,correct,has_mask,gradcam_foreground_fraction,gradcam_background_fraction,gradcam_misleading,lime_foreground_fraction,lime_background_fraction,lime_misleading
data/raw/PlantVillage Dataset (Labeled)/Color Images/Apple___Apple_scab/5eb564a6-cd74-4c90-95d9-611a6301369d___FREC_Scab 3099.JPG,Apple___Apple_scab,0,0,Apple___Apple_scab,0.9325221180915833,True,True,0.48652124404907227,0.5134787559509277,True,0.620468020439148,0.37953197956085205,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Apple___Apple_scab/64863bd8-baca-47b6-b07b-516df2659919___FREC_Scab 3149.JPG,Apple___Apple_scab,0,0,Apple___Apple_scab,0.9214558601379395,True,True,0.6545464992523193,0.34545350074768066,False,0.8589105606079102,0.14108943939208984,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Apple___Black_rot/ecfabcf4-106e-4357-8058-948dcb2f4798___JR_FrgE.S 8821.JPG,Apple___Black_rot,1,1,Apple___Black_rot,0.9010724425315857,True,True,0.15903334319591522,0.8409666568040848,True,0.33454859256744385,0.6654514074325562,True
data/raw/PlantVillage Dataset (Labeled)/Color Images/Apple___Black_rot/c7cdbb47-6660-44b5-8bb6-3cb796685d15___JR_FrgE.S 2834.JPG,Apple___Black_rot,1,1,Apple___Black_rot,0.909792423248291,True,True,0.4660837650299072,0.5339162349700928,True,0.6304642558097839,0.36953574419021606,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Apple___Cedar_apple_rust/052e3deb-0499-4685-bc39-cea7f1df0700___FREC_C.Rust 3742.JPG,Apple___Cedar_apple_rust,2,2,Apple___Cedar_apple_rust,0.9079042673110962,True,True,0.3387921452522278,0.6612078547477722,True,0.4798247516155243,0.5201752483844757,True
data/raw/PlantVillage Dataset (Labeled)/Color Images/Apple___Cedar_apple_rust/3b1e5132-71dd-4e75-b04a-513a3851ca02___FREC_C.Rust 4439.JPG,Apple___Cedar_apple_rust,2,2,Apple___Cedar_apple_rust,0.9195263385772705,True,True,0.268619179725647,0.731380820274353,True,0.38992053270339966,0.6100794672966003,True
data/raw/PlantVillage Dataset (Labeled)/Color Images/Apple___healthy/aa8e1c77-667f-4610-8e36-c8a21f1f9eae___RS_HL 7578.JPG,Apple___healthy,3,3,Apple___healthy,0.8651001453399658,True,True,0.3207368552684784,0.6792631447315216,True,0.26472926139831543,0.7352707386016846,True
data/raw/PlantVillage Dataset (Labeled)/Color Images/Apple___healthy/c3740e2e-9676-4468-a33b-3e11de158532___RS_HL 5872.JPG,Apple___healthy,3,3,Apple___healthy,0.9726347327232361,True,True,0.28354084491729736,0.7164591550827026,True,0.2672731280326843,0.7327268719673157,True
data/raw/PlantVillage Dataset (Labeled)/Color Images/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/e50fa094-ce6d-475b-91e7-55266a2677ac___RS_GLSp 4379 copy.jpg,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,4,4,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.49228960275650024,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/2ca70127-9310-4312-8769-d9d6b43526a1___RS_GLSp 4369.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,4,4,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9595264196395874,True,False,,,,,,
