filepath,class_name,true_label,pred_label,pred_class,pred_confidence,correct,has_mask,gradcam_foreground_fraction,gradcam_background_fraction,gradcam_misleading,lime_foreground_fraction,lime_background_fraction,lime_misleading
data/raw/PlantVillage Dataset (Labeled)/Color Images/Apple___Apple_scab/5eb564a6-cd74-4c90-95d9-611a6301369d___FREC_Scab 3099.JPG,Apple___Apple_scab,0,0,Apple___Apple_scab,0.902848482131958,True,True,0.9372876882553101,0.06271231174468994,False,0.7579834461212158,0.24201655387878418,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Apple___Apple_scab/64863bd8-baca-47b6-b07b-516df2659919___FREC_Scab 3149.JPG,Apple___Apple_scab,0,0,Apple___Apple_scab,0.9288445711135864,True,True,0.9309611320495605,0.06903886795043945,False,0.9220409989356995,0.07795900106430054,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Apple___Black_rot/ecfabcf4-106e-4357-8058-948dcb2f4798___JR_FrgE.S 8821.JPG,Apple___Black_rot,1,1,Apple___Black_rot,0.8907042145729065,True,True,0.7468885183334351,0.25311148166656494,False,0.4994466304779053,0.5005533695220947,True
data/raw/PlantVillage Dataset (Labeled)/Color Images/Apple___Black_rot/c7cdbb47-6660-44b5-8bb6-3cb796685d15___JR_FrgE.S 2834.JPG,Apple___Black_rot,1,1,Apple___Black_rot,0.958568811416626,True,True,0.9141339063644409,0.08586609363555908,False,0.6386121511459351,0.36138784885406494,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Apple___Cedar_apple_rust/052e3deb-0499-4685-bc39-cea7f1df0700___FREC_C.Rust 3742.JPG,Apple___Cedar_apple_rust,2,2,Apple___Cedar_apple_rust,0.9443349838256836,True,True,0.8115643858909607,0.1884356141090393,False,0.4978630840778351,0.5021369159221649,True
data/raw/PlantVillage Dataset (Labeled)/Color Images/Apple___Cedar_apple_rust/3b1e5132-71dd-4e75-b04a-513a3851ca02___FREC_C.Rust 4439.JPG,Apple___Cedar_apple_rust,2,2,Apple___Cedar_apple_rust,0.8949337005615234,True,True,0.7005667090415955,0.29943329095840454,False,0.5821033716201782,0.4178966283798218,False
data/raw/PlantVillage Dataset (Labeled)/Color Images/Apple___healthy/aa8e1c77-667f-4610-8e36-c8a21f1f9eae___RS_HL 7578.JPG,Apple___healthy,3,3,Apple___healthy,0.9207156300544739,True,True,0.8555503487586975,0.1444496512413025,False,0.277612566947937,0.722387433052063,True
data/raw/PlantVillage Dataset (Labeled)/Color Images/Apple___healthy/c3740e2e-9676-4468-a33b-3e11de158532___RS_HL 5872.JPG,Apple___healthy,3,3,Apple___healthy,0.9126414656639099,True,True,0.6301390528678894,0.3698609471321106,False,0.29759591817855835,0.7024040818214417,True
data/raw/PlantVillage Dataset (Labeled)/Color Images/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/e50fa094-ce6d-475b-91e7-55266a2677ac___RS_GLSp 4379 copy.jpg,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,4,4,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.5393936634063721,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot/2ca70127-9310-4312-8769-d9d6b43526a1___RS_GLSp 4369.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,4,4,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9448806643486023,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Corn_(maize)___Common_rust_/RS_Rust 1837.JPG,Corn_(maize)___Common_rust_,5,5,Corn_(maize)___Common_rust_,0.8492680788040161,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Corn_(maize)___Common_rust_/RS_Rust 2656.JPG,Corn_(maize)___Common_rust_,5,5,Corn_(maize)___Common_rust_,0.9018114805221558,True,False,,,,,,
data/raw/PlantVillage Dataset (Labeled)/Color Images/Corn_(maize)___Northern_Leaf_Blight/5544871e-cc3b-47ba-92fb-d189b04d3b2e___RS_NLB 3728.JPG,Corn_(maize)___Northern_Leaf_Blight,6,6,Corn_(maize)___Northern_Leaf_Blight,0.9428781867027283,True,True,0.9197629690170288,0.08023703098297119,False,0.6115787029266357,0.38842129707336426,False
